
FOR_//TELE_APP_//PYTHON2021   [TO BE RELEASE]

FOR_//MT5_TELE_COPIER_V3   [TO BE RELEASE]

FOR_//MT4_TELE_COPIER_V3   [TO BE RELEASE]

FOR_//MT5_TELE_TRADE_NOTIFY   [TO BE RELEASE]

FOR_//MT4_TELE_TRADE_NOTIFY   [TO BE RELEASE]

FOR_//MT5_TELE_ALERT_NOTIFY   [TO BE RELEASE]

FOR_//MT4_TELE_ALERT_NOTIFY   [TO BE RELEASE]

FOR_//MT5_TELE_SMARTRISK   [TO BE RELEASE]

FOR_//MT4_TELE_SMARTRISK   [TO BE RELEASE]

FOR_//MT5_TELE_TRADEMANAGER   [TO BE RELEASE]

FOR_//MT4_TELE_TRADEMANAGER  [TO BE RELEASE]

FOR_//MT5_TELE_TRADE_MANUAL   [TO BE RELEASE]

FOR_//MT4_TELE_TRADE_MANUAL   [TO BE RELEASE]

V190B01223954721b1a93c4

V1-TRIAL_2021

123456

